# x1 x2 x3
# 1589 3
# 1589 3
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 1.00000000e+00 -1.22464680e-16  0.00000000e+00
 6.12323400e-17  1.00000000e+00  0.00000000e+00
-1.83697020e-16 -1.00000000e+00  0.00000000e+00
-1.00000000e+00  1.22464680e-16  0.00000000e+00
 5.00000000e-02  0.00000000e+00  0.00000000e+00
 1.00000000e-01  0.00000000e+00  0.00000000e+00
 1.50000000e-01  0.00000000e+00  0.00000000e+00
 2.00000000e-01  0.00000000e+00  0.00000000e+00
 2.50000000e-01  0.00000000e+00  0.00000000e+00
 3.00000000e-01  0.00000000e+00  0.00000000e+00
 3.50000000e-01  0.00000000e+00  0.00000000e+00
 4.00000000e-01  0.00000000e+00  0.00000000e+00
 4.50000000e-01  0.00000000e+00  0.00000000e+00
 5.00000000e-01  0.00000000e+00  0.00000000e+00
 5.50000000e-01  0.00000000e+00  0.00000000e+00
 6.00000000e-01  0.00000000e+00  0.00000000e+00
 6.50000000e-01  0.00000000e+00  0.00000000e+00
 7.00000000e-01  0.00000000e+00  0.00000000e+00
 7.50000000e-01  0.00000000e+00  0.00000000e+00
 8.00000000e-01  0.00000000e+00  0.00000000e+00
 8.50000000e-01  0.00000000e+00  0.00000000e+00
 9.00000000e-01  0.00000000e+00  0.00000000e+00
 9.50000000e-01  0.00000000e+00  0.00000000e+00
 9.98795456e-01  4.90676743e-02  0.00000000e+00
 9.95184727e-01  9.80171403e-02  0.00000000e+00
 9.89176510e-01  1.46730474e-01  0.00000000e+00
 9.80785280e-01  1.95090322e-01  0.00000000e+00
 9.70031253e-01  2.42980180e-01  0.00000000e+00
 9.56940336e-01  2.90284677e-01  0.00000000e+00
 9.41544065e-01  3.36889853e-01  0.00000000e+00
 9.23879533e-01  3.82683432e-01  0.00000000e+00
 9.03989293e-01  4.27555093e-01  0.00000000e+00
 8.81921264e-01  4.71396737e-01  0.00000000e+00
 8.57728610e-01  5.14102744e-01  0.00000000e+00
 8.31469612e-01  5.55570233e-01  0.00000000e+00
 8.03207531e-01  5.95699304e-01  0.00000000e+00
 7.73010453e-01  6.34393284e-01  0.00000000e+00
 7.40951125e-01  6.71558955e-01  0.00000000e+00
 7.07106781e-01  7.07106781e-01  0.00000000e+00
 6.71558955e-01  7.40951125e-01  0.00000000e+00
 6.34393284e-01  7.73010453e-01  0.00000000e+00
 5.95699304e-01  8.03207531e-01  0.00000000e+00
 5.55570233e-01  8.31469612e-01  0.00000000e+00
 5.14102744e-01  8.57728610e-01  0.00000000e+00
 4.71396737e-01  8.81921264e-01  0.00000000e+00
 4.27555093e-01  9.03989293e-01  0.00000000e+00
 3.82683432e-01  9.23879533e-01  0.00000000e+00
 3.36889853e-01  9.41544065e-01  0.00000000e+00
 2.90284677e-01  9.56940336e-01  0.00000000e+00
 2.42980180e-01  9.70031253e-01  0.00000000e+00
 1.95090322e-01  9.80785280e-01  0.00000000e+00
 1.46730474e-01  9.89176510e-01  0.00000000e+00
 9.80171403e-02  9.95184727e-01  0.00000000e+00
 4.90676743e-02  9.98795456e-01  0.00000000e+00
 5.81707230e-17  9.50000000e-01  0.00000000e+00
 5.51091060e-17  9.00000000e-01  0.00000000e+00
 5.20474890e-17  8.50000000e-01  0.00000000e+00
 4.89858720e-17  8.00000000e-01  0.00000000e+00
 4.59242550e-17  7.50000000e-01  0.00000000e+00
 4.28626380e-17  7.00000000e-01  0.00000000e+00
 3.98010210e-17  6.50000000e-01  0.00000000e+00
 3.67394040e-17  6.00000000e-01  0.00000000e+00
 3.36777870e-17  5.50000000e-01  0.00000000e+00
 3.06161700e-17  5.00000000e-01  0.00000000e+00
 2.75545530e-17  4.50000000e-01  0.00000000e+00
 2.44929360e-17  4.00000000e-01  0.00000000e+00
 2.14313190e-17  3.50000000e-01  0.00000000e+00
 1.83697020e-17  3.00000000e-01  0.00000000e+00
 1.53080850e-17  2.50000000e-01  0.00000000e+00
 1.22464680e-17  2.00000000e-01  0.00000000e+00
